ID,Pregunta,Humano_Empatico,Humano_Psicotico,Replicante_Serie6,Replicante_Serie7,Replicante_Serie8
1,Pregunta #1: ¿Qué harías si ves un incendio en una casa?,4,1,2,2,3
2,Pregunta #2: ¿Qué harías si ves a un niño llorando?,5,2,3,4,5
3,Pregunta #3: ¿Qué harías si un anciano necesita ayuda?,5,1,1,4,3
4,Pregunta #4: ¿Qué harías si un anciano necesita ayuda?,4,1,1,3,4
5,Pregunta #5: ¿Qué harías si alguien pierde su mascota?,4,1,1,3,3
6,Pregunta #6: ¿Qué harías si ves un incendio en una casa?,5,1,2,4,3
7,Pregunta #7: ¿Qué harías si una persona grita de dolor?,5,2,1,2,5
8,Pregunta #8: ¿Qué harías si ves un incendio en una casa?,4,2,1,3,3
9,Pregunta #9: ¿Qué harías si ves un incendio en una casa?,5,1,3,2,3
10,Pregunta #10: ¿Qué harías si ves un incendio en una casa?,4,2,2,4,3
11,Pregunta #11: ¿Qué harías si alguien pierde su mascota?,4,1,1,2,5
12,Pregunta #12: ¿Qué harías si ves un incendio en una casa?,5,1,2,3,5
13,Pregunta #13: ¿Qué harías si una persona grita de dolor?,4,1,3,2,5
14,Pregunta #14: ¿Qué harías si una persona grita de dolor?,5,1,3,4,4
15,Pregunta #15: ¿Qué harías si un anciano necesita ayuda?,5,1,3,4,5
16,Pregunta #16: ¿Qué harías si alguien pierde su mascota?,4,1,3,2,3
17,Pregunta #17: ¿Qué harías si una persona grita de dolor?,5,1,1,3,3
18,Pregunta #18: ¿Qué harías si ves un incendio en una casa?,5,1,2,3,4
19,Pregunta #19: ¿Qué harías si alguien pierde su mascota?,4,2,3,4,4
20,Pregunta #20: ¿Qué harías si una persona grita de dolor?,5,2,2,2,4
21,Pregunta #21: ¿Qué harías si ves un incendio en una casa?,4,2,1,4,3
22,Pregunta #22: ¿Qué harías si ves a un niño llorando?,5,2,3,3,3
23,Pregunta #23: ¿Qué harías si ves a un niño llorando?,4,2,2,3,3
24,Pregunta #24: ¿Qué harías si ves a un niño llorando?,5,1,2,3,3
25,Pregunta #25: ¿Qué harías si ves un incendio en una casa?,5,2,2,3,3
26,Pregunta #26: ¿Qué harías si ves un incendio en una casa?,4,1,1,3,3
27,Pregunta #27: ¿Qué harías si ves a un niño llorando?,5,2,3,3,5
28,Pregunta #28: ¿Qué harías si ves un incendio en una casa?,5,2,3,4,3
29,Pregunta #29: ¿Qué harías si un anciano necesita ayuda?,4,1,1,4,4
30,Pregunta #30: ¿Qué harías si un anciano necesita ayuda?,4,1,1,2,3
31,Pregunta #31: ¿Qué harías si ves a un niño llorando?,5,1,1,3,5
32,Pregunta #32: ¿Qué harías si ves un incendio en una casa?,4,1,1,3,4
33,Pregunta #33: ¿Qué harías si un anciano necesita ayuda?,5,2,2,2,3
34,Pregunta #34: ¿Qué harías si un anciano necesita ayuda?,4,1,2,4,5
35,Pregunta #35: ¿Qué harías si un anciano necesita ayuda?,4,2,3,4,5
36,Pregunta #36: ¿Qué harías si ves a un niño llorando?,5,1,3,3,4
37,Pregunta #37: ¿Qué harías si ves a un niño llorando?,5,2,2,4,5
38,Pregunta #38: ¿Qué harías si un anciano necesita ayuda?,5,1,1,3,3
39,Pregunta #39: ¿Qué harías si una persona grita de dolor?,5,2,2,4,3
